CellID,ClusterID,ClusterName
386,9,eL5
387,-1,NA
388,0,eL4
389,-1,NA
390,8,eL5
391,6,eL2/3
392,1,eL2/3
393,7,VIP
394,3,Endo
395,2,PV
396,1,eL6
397,-1,NA
398,-1,NA
399,2,VIP
400,3,eL4
401,2,eL4
402,0,eL6
403,-1,NA
404,6,eL4
405,1,PV
406,-1,NA
407,10,eL4
408,-1,NA
409,0,VIP
410,1,PV
411,-1,NA
412,4,eL6
413,-1,NA
414,1,eL2/3
415,-1,NA
416,6,eL6
417,-1,NA
418,3,SST
419,0,eL4
420,1,eL4
421,-1,NA
422,9,eL2/3
423,3,eL6
424,0,PV
425,1,eL2/3
426,1,eL2/3
427,3,VIP
428,6,eL5
429,7,Oligo
430,6,eL5
431,-1,NA
432,3,eL4
433,-1,NA
434,0,SST
435,0,eL2/3
436,-1,NA
437,2,eL6
438,-1,NA
439,6,eL4
440,9,eL4
441,2,eL4
442,1,NPY
443,-1,NA
444,-1,NA
445,3,SST
446,-1,NA
447,-1,NA
448,0,eL5
449,0,eL4
450,2,Astro
451,0,Endo
452,2,eL6
453,0,eL4
454,-1,NA
455,-1,NA
456,5,SST
457,2,eL4
458,4,eL4
459,0,eL5
460,5,Smc
461,6,eL4
462,2,eL2/3
463,-1,NA
464,0,eL2/3
465,6,eL5
466,-1,NA
467,1,eL6
468,7,eL4
469,10,eL4
470,0,eL2/3
471,-1,NA
472,2,eL6
473,3,Astro
474,5,SST
475,1,eL4
476,-1,NA
477,3,Astro
478,9,eL2/3
479,2,eL2/3
480,3,VIP
481,0,Astro
482,-1,NA
483,0,eL5
484,1,eL2/3
485,0,eL4
486,3,eL4
487,6,Oligo
488,6,eL5
489,3,Astro
490,-1,NA
491,3,eL5
492,3,Astro
493,0,Astro
494,3,eL2/3
495,11,eL6
496,0,SST
497,2,eL6
498,3,NPY
499,-1,NA
500,11,eL5
501,11,eL6
502,-1,NA
503,7,eL6
504,3,eL2/3
505,3,eL5
506,0,SST
507,7,eL2/3
508,3,eL4
509,5,eL5
510,3,eL4
511,2,eL4
512,3,Oligo
513,3,NPY
514,11,eL5
515,-1,NA
516,6,eL6
517,-1,NA
518,9,SST
519,4,eL2/3
520,1,eL4
521,-1,NA
522,10,eL4
523,-1,NA
524,1,eL2/3
525,1,eL2/3
526,0,eL6
527,6,eL5
528,7,eL5
529,2,eL6
530,3,eL5
531,2,eL2/3
532,-1,NA
533,2,eL5
534,-1,NA
535,0,eL4
536,2,eL2/3
537,-1,NA
538,1,eL4
539,3,eL5
540,-1,NA
541,0,eL6
542,11,eL4
543,1,eL2/3
544,1,eL6
545,1,eL4
546,2,eL5
547,0,eL2/3
548,1,eL6
549,-1,NA
550,-1,NA
551,-1,NA
552,-1,NA
553,2,Smc
554,4,Smc
555,9,eL2/3
556,3,Endo
557,-1,NA
558,-1,NA
559,2,eL6
560,11,eL4
561,-1,NA
562,8,eL2/3
563,7,eL6
564,-1,NA
565,4,eL2/3
566,-1,NA
567,1,eL5
568,0,eL4
569,-1,NA
570,1,eL6
571,7,eL4
572,0,PV
573,0,eL5
574,11,Endo
575,-1,NA
576,-1,NA
577,3,eL2/3
578,7,eL4
579,-1,NA
580,-1,NA
581,1,SST
582,-1,NA
583,-1,NA
584,-1,NA
585,2,eL4
586,1,eL4
587,4,eL2/3
588,-1,NA
589,3,eL5
590,-1,NA
591,3,eL4
592,3,eL4
593,-1,NA
594,0,SST
595,-1,NA
596,4,eL5
597,0,eL6
598,3,eL5
599,0,PV
600,-1,NA
601,2,eL6
602,3,eL2/3
603,0,Endo
604,0,eL2/3
605,-1,NA
606,0,NPY
607,-1,NA
608,1,Smc
609,-1,NA
610,2,eL4
611,2,eL6
612,6,SST
613,1,eL4
614,5,eL4
615,3,eL4
616,0,eL2/3
617,0,Astro
618,3,eL4
619,-1,NA
620,3,PV
621,-1,NA
622,1,Endo
623,-1,NA
624,7,eL2/3
625,2,eL4
626,1,eL6
627,9,Endo
628,11,eL6
629,-1,NA
630,-1,NA
631,3,eL5
632,3,eL4
633,-1,NA
634,-1,NA
635,-1,NA
636,4,eL4
637,0,eL4
638,3,eL4
639,3,eL4
640,5,eL5
641,-1,NA
642,1,eL4
643,1,eL2/3
644,1,Astro
645,1,eL2/3
646,3,Astro
647,-1,NA
648,-1,NA
649,-1,NA
650,-1,NA
651,3,PV
652,-1,NA
653,0,eL4
654,0,PV
655,0,eL2/3
656,0,eL5
657,-1,NA
658,4,NPY
659,6,eL4
660,8,eL4
661,-1,NA
662,7,eL2/3
663,7,eL6
664,-1,NA
665,-1,NA
666,-1,NA
667,0,Endo
668,-1,NA
669,7,eL5
670,-1,NA
671,5,SST
672,-1,NA
673,5,eL6
674,5,eL4
675,11,eL2/3
676,7,eL5
677,-1,NA
678,5,Astro
679,-1,NA
680,-1,NA
681,4,NPY
682,1,PV
683,3,eL6
684,0,eL4
685,1,eL5
686,10,Oligo
687,-1,NA
688,0,eL2/3
689,-1,NA
690,2,eL6
691,2,eL6
692,-1,NA
693,-1,NA
694,6,eL6
695,-1,NA
696,1,Endo
697,-1,NA
698,3,eL6
699,9,eL4
700,-1,NA
701,1,eL2/3
702,3,eL4
703,2,Endo
704,3,eL6
705,5,Astro
706,10,eL4
707,5,Astro
708,3,eL5
709,5,eL5
710,9,eL4
711,7,eL2/3
712,-1,NA
713,3,eL2/3
714,-1,NA
715,4,eL6
716,0,eL6
717,7,SST
718,-1,NA
719,3,eL6
720,11,eL4
721,4,eL4
722,-1,NA
723,7,SST
724,1,eL2/3
725,4,eL2/3
726,0,eL6
727,3,eL4
728,1,eL4
729,-1,NA
730,-1,NA
731,-1,NA
732,-1,NA
733,3,eL4
734,1,eL2/3
735,2,VIP
736,-1,NA
737,5,Endo
738,7,eL2/3
739,1,eL2/3
740,-1,NA
741,3,eL4
742,-1,NA
743,-1,NA
744,1,NPY
745,10,eL2/3
746,-1,NA
747,-1,NA
748,-1,NA
749,-1,NA
750,0,eL5
751,6,eL2/3
752,3,eL5
753,-1,NA
754,-1,NA
755,3,eL4
756,0,eL5
757,3,eL4
758,0,Astro
759,-1,NA
760,-1,NA
761,2,eL5
762,4,eL5
763,0,eL6
764,-1,NA
765,2,eL2/3
766,3,eL2/3
767,-1,NA
768,-1,NA
769,5,eL4
770,-1,NA
771,-1,NA
772,4,eL4
773,1,eL5
774,-1,NA
775,10,eL6
776,0,eL4
777,-1,NA
778,0,NPY
779,0,eL2/3
780,-1,NA
781,2,eL2/3
782,-1,NA
783,2,eL5
784,-1,NA
785,0,eL4
786,1,eL4
787,3,eL6
788,0,PV
789,5,eL2/3
790,4,eL4
791,5,eL6
792,-1,NA
793,1,eL2/3
794,0,PV
795,3,eL4
796,3,Oligo
797,9,eL6
798,3,Astro
799,6,eL2/3
800,-1,NA
801,-1,NA
802,7,eL2/3
803,-1,NA
804,6,eL4
805,7,eL5
806,3,eL5
807,3,eL6
808,-1,NA
809,0,Astro
810,-1,NA
811,0,eL6
812,7,eL4
813,-1,NA
814,3,eL2/3
815,-1,NA
816,-1,NA
