CellID,ClusterID,ClusterName
0,11,Smc
1,-1,NA
2,3,Smc
3,-1,NA
4,6,Endo
5,13,Astro
6,11,Astro
7,-1,NA
8,13,Endo
9,13,Endo
10,11,Smc
11,1,Endo
12,11,Astro
13,-1,NA
14,-1,NA
15,11,Smc
16,13,Endo
17,11,Endo
18,11,Endo
19,5,Endo
20,11,Smc
21,11,Astro
22,11,Endo
23,0,Endo
24,11,eL6-2
25,14,Endo
26,13,Endo
27,11,Endo
28,-1,NA
29,11,Endo
30,14,Smc
31,0,Endo
32,11,Endo
33,7,Endo
34,11,Endo
35,13,Oligo
36,11,Smc
37,11,Astro
38,7,Astro
39,0,Endo
40,11,Endo
41,0,Endo
42,0,Endo
43,-1,NA
44,0,Astro
45,11,Endo
46,11,Smc
47,11,Smc
48,0,Smc
49,0,Smc
50,7,Smc
51,0,Smc
52,7,Endo
53,0,Smc
54,0,Smc
55,0,Endo
56,11,Smc
57,11,Smc
58,0,Smc
59,10,Astro
60,11,Astro
61,-1,NA
62,-1,NA
63,11,Smc
64,0,Endo
65,-1,NA
66,-1,NA
67,0,Endo
68,0,Endo
69,-1,NA
70,0,Astro
71,7,Smc
72,0,Smc
73,0,Smc
74,0,Smc
75,-1,NA
76,11,Smc
77,-1,NA
78,0,Smc
79,-1,NA
80,-1,NA
81,-1,NA
82,0,Smc
83,-1,NA
84,0,Astro
85,3,Oligo
86,0,Smc
87,0,Astro
88,0,eL5-3
89,11,Smc
90,0,Astro
91,-1,NA
92,0,Reln
93,-1,NA
94,0,Smc
95,11,Oligo
96,-1,NA
97,7,Smc
98,0,Astro
99,0,Reln
100,-1,NA
101,-1,NA
102,-1,NA
103,-1,NA
104,0,Reln
105,-1,NA
106,-1,NA
107,1,Reln
108,-1,NA
109,-1,NA
110,11,Reln
111,0,VIP
112,1,eL2/3
113,-1,NA
114,0,NPY
115,0,Smc
116,-1,NA
117,0,eL5-2
118,-1,NA
119,0,eL5-2
120,3,Smc
121,12,eL2/3
122,0,eL2/3
123,0,eL2/3
124,0,Smc
125,0,Oligo
126,0,Smc
127,0,Astro
128,-1,NA
129,0,eL2/3
130,6,Astro
131,0,eL2/3
132,6,eL2/3
133,11,eL2/3
134,0,eL5-3
135,0,eL2/3
136,2,eL2/3
137,0,Lhx6
138,0,L5-1
139,0,VIP
140,0,eL2/3
141,0,L5-1
142,1,Reln
143,0,Smc
144,2,eL2/3
145,0,eL2/3
146,0,Reln
147,0,eL2/3
148,0,L5-1
149,0,eL2/3
150,0,Smc
151,13,eL2/3
152,0,L5-1
153,8,VIP
154,0,Smc
155,0,VIP
156,0,eL2/3
157,0,eL5-2
158,0,eL5-2
159,0,eL2/3
160,14,eL2/3
161,0,eL2/3
162,0,eL2/3
163,8,NPY
164,0,eL5-2
165,4,Smc
166,11,eL2/3
167,-1,NA
168,0,Smc
169,1,eL2/3
170,-1,NA
171,0,Lhx6
172,0,eL2/3
173,11,eL2/3
174,0,eL2/3
175,0,NPY
176,0,Astro
177,7,eL2/3
178,0,eL2/3
179,0,eL2/3
180,13,eL2/3
181,0,eL2/3
182,0,eL2/3
183,6,eL2/3
184,1,eL2/3
185,0,eL2/3
186,0,eL5-3
187,0,eL2/3
188,0,L5-1
189,3,eL2/3
190,11,Smc
191,0,VIP
192,0,eL2/3
193,12,eL2/3
194,0,L5-1
195,0,eL2/3
196,0,eL2/3
197,0,eL2/3
198,0,eL2/3
199,11,eL5-2
200,2,eL2/3
201,2,eL2/3
202,0,eL2/3
203,8,eL2/3
204,0,eL2/3
205,6,VIP
206,3,eL2/3
207,9,eL2/3
208,0,eL2/3
209,1,Astro
210,1,Astro
211,0,eL2/3
212,0,eL2/3
213,0,Smc
214,0,L5-1
215,1,eL2/3
216,9,eL2/3
217,13,eL2/3
218,2,eL2/3
219,14,eL2/3
220,0,eL2/3
221,9,eL2/3
222,0,NPY
223,3,eL2/3
224,0,eL2/3
225,2,eL2/3
226,1,eL2/3
227,8,Reln
228,0,eL2/3
229,2,eL2/3
230,2,eL2/3
231,0,eL2/3
232,2,Astro
233,2,eL2/3
234,0,eL2/3
235,8,eL2/3
236,0,eL5-3
237,0,eL2/3
238,2,eL2/3
239,2,eL2/3
240,1,eL2/3
241,2,Smc
242,0,Smc
243,8,Smc
244,3,eL2/3
245,2,eL5-3
246,3,eL2/3
247,3,Astro
248,1,L5-1
249,9,eL2/3
250,2,Smc
251,0,eL2/3
252,-1,NA
253,14,Smc
254,3,eL2/3
255,3,Smc
256,8,Oligo
257,3,eL2/3
258,13,eL5-3
259,1,eL2/3
260,1,eL2/3
261,3,Reln
262,3,eL2/3
263,3,eL5-3
264,0,eL2/3
265,0,eL2/3
266,3,Smc
267,0,eL2/3
268,6,eL2/3
269,3,eL2/3
270,3,L5-1
271,2,eL2/3
272,2,eL2/3
273,1,eL2/3
274,2,Astro
275,9,eL5-2
276,2,eL2/3
277,4,Smc
278,2,NPY
279,2,L5-1
280,1,eL2/3
281,1,eL2/3
282,13,L5-1
283,1,Smc
284,3,eL5-3
285,9,eL2/3
286,0,eL2/3
287,7,Endo
288,8,eL2/3
289,3,L5-1
290,1,eL2/3
291,13,eL2/3
292,1,Lhx6
293,0,Smc
294,1,NPY
295,2,L5-1
296,2,eL2/3
297,3,Smc
298,0,Smc
299,13,eL5-2
300,6,L5-1
301,2,eL2/3
302,1,L5-1
303,1,Smc
304,3,eL5-2
305,2,eL5-3
306,3,eL2/3
307,3,eL2/3
308,0,L5-1
309,5,eL2/3
310,3,Smc
311,2,L5-1
312,11,Smc
313,11,eL5-2
314,1,L5-1
315,3,eL5-3
316,13,Endo
317,3,L5-1
318,1,eL5-2
319,3,eL5-2
320,3,L5-1
321,7,eL5-2
322,2,eL5-2
323,3,Astro
324,1,L5-1
325,1,Smc
326,3,L5-1
327,11,eL5-2
328,2,L5-1
329,3,eL5-3
330,11,Astro
331,14,L5-1
332,9,eL5-3
333,13,Smc
334,1,eL5-3
335,14,eL5-2
336,11,Lhx6
337,0,eL5-2
338,3,L5-1
339,1,eL5-3
340,3,L5-1
341,3,Endo
342,1,L5-1
343,8,VIP
344,8,L5-1
345,3,Smc
346,11,Astro
347,3,L5-1
348,3,eL5-2
349,12,Astro
350,9,Astro
351,3,eL5-2
352,13,L5-1
353,1,Astro
354,9,Oligo
355,3,eL5-3
356,3,eL2/3
357,2,Smc
358,3,Smc
359,3,eL5-3
360,3,eL5-2
361,10,eL5-2
362,2,L5-1
363,3,eL2/3
364,11,Lhx6
365,3,eL5-3
366,3,L5-1
367,3,L5-1
368,1,L5-1
369,8,Smc
370,2,eL5-2
371,2,L5-1
372,3,eL5-3
373,1,eL5-3
374,-1,NA
375,0,eL5-3
376,3,L5-1
377,3,eL5-3
378,4,eL5-3
379,8,L5-1
380,3,eL5-2
381,3,eL5-3
382,12,eL5-3
383,1,eL5-3
384,3,L5-1
385,3,L5-1
386,3,eL5-3
387,3,eL5-3
388,1,eL5-3
389,3,Smc
390,-1,NA
391,3,eL5-3
392,3,eL5-3
393,7,L5-1
394,2,L5-1
395,13,eL5-3
396,3,Smc
397,0,NPY
398,3,eL5-3
399,2,eL5-3
400,2,eL5-3
401,8,L5-1
402,3,eL5-3
403,5,Astro
404,3,eL5-3
405,2,eL5-3
406,7,L5-1
407,3,eL5-2
408,-1,NA
409,3,Endo
410,13,Astro
411,1,eL5-3
412,3,eL5-3
413,3,Astro
414,11,eL5-2
415,3,L5-1
416,3,L5-1
417,3,eL5-3
418,2,VIP
419,3,Astro
420,3,L5-1
421,13,eL5-3
422,3,eL5-3
423,14,eL5-3
424,14,eL5-3
425,11,eL5-3
426,9,eL5-2
427,3,eL5-3
428,1,eL5-2
429,3,L5-1
430,13,eL5-3
431,0,eL5-3
432,2,Smc
433,4,L5-1
434,1,L5-1
435,14,eL5-3
436,9,eL5-3
437,3,eL5-3
438,3,eL5-3
439,-1,NA
440,3,Endo
441,3,L5-1
442,1,eL6-2
443,1,L5-1
444,9,Smc
445,9,eL5-2
446,11,Endo
447,3,Smc
448,11,eL5-3
449,-1,NA
450,13,eL5-2
