CellID,ClusterID,ClusterName
388,1,eL6
389,0,eL6
390,6,PV
391,0,Smc
392,-1,NA
393,-1,NA
394,2,eL4
395,4,eL6
396,11,Oligo
397,-1,NA
398,0,PV
399,-1,NA
400,-1,NA
401,2,PV
402,5,eL4
403,10,eL4
404,-1,NA
405,5,eL6
406,1,Endo
407,9,eL2/3
408,-1,NA
409,-1,NA
410,0,VIP
411,8,eL6
412,6,Oligo
413,-1,NA
414,1,Smc
415,7,eL4
416,3,eL6
417,2,eL2/3
418,1,eL2/3
419,2,eL2/3
420,3,Astro
421,-1,NA
422,2,eL4
423,-1,NA
424,0,eL5
425,6,eL6
426,1,Astro
427,-1,NA
428,10,eL5
429,0,eL5
430,1,eL4
431,4,eL2/3
432,1,PV
433,6,Smc
434,3,eL6
435,0,eL6
436,1,eL6
437,9,eL5
438,3,eL4
439,-1,NA
440,0,PV
441,1,eL2/3
442,1,eL4
443,3,eL6
444,6,eL6
445,7,eL6
446,6,eL5
447,3,eL2/3
448,-1,NA
449,0,SST
450,0,eL4
451,2,eL4
452,-1,NA
453,6,Oligo
454,9,eL5
455,2,eL6
456,1,eL4
457,3,eL5
458,-1,NA
459,0,eL4
460,0,eL2/3
461,2,eL4
462,0,Smc
463,2,eL5
464,-1,NA
465,0,eL6
466,5,eL2/3
467,2,eL4
468,4,eL2/3
469,-1,NA
470,0,eL2/3
471,5,eL4
472,6,Smc
473,2,eL6
474,0,eL5
475,-1,NA
476,6,eL2/3
477,1,eL2/3
478,7,eL5
479,10,eL4
480,0,eL5
481,2,eL4
482,3,eL4
483,5,eL5
484,1,eL4
485,3,eL2/3
486,9,eL5
487,-1,NA
488,-1,NA
489,2,Endo
490,-1,NA
491,3,eL6
492,0,eL2/3
493,0,NPY
494,1,eL4
495,0,eL2/3
496,3,eL2/3
497,6,eL2/3
498,6,eL4
499,-1,NA
500,3,eL2/3
501,3,Smc
502,3,VIP
503,0,eL6
504,3,PV
505,11,eL2/3
506,0,Smc
507,-1,NA
508,-1,NA
509,2,eL4
510,3,eL2/3
511,-1,NA
512,-1,NA
513,11,eL5
514,11,Smc
515,7,Astro
516,3,Astro
517,3,eL4
518,0,eL4
519,-1,NA
520,7,PV
521,3,eL4
522,-1,NA
523,5,eL5
524,3,eL2/3
525,2,eL6
526,3,Endo
527,3,eL4
528,11,eL6
529,6,Astro
530,9,eL4
531,-1,NA
532,4,eL5
533,1,Smc
534,10,eL6
535,1,eL5
536,-1,NA
537,1,Endo
538,0,Astro
539,-1,NA
540,-1,NA
541,6,eL4
542,7,eL6
543,2,eL4
544,3,eL2/3
545,2,Endo
546,-1,NA
547,2,eL4
548,0,eL2/3
549,2,eL4
550,-1,NA
551,1,eL4
552,3,eL4
553,0,eL6
554,-1,NA
555,-1,NA
556,11,eL6
557,1,eL6
558,1,eL6
559,1,eL5
560,-1,NA
561,2,Smc
562,0,eL6
563,1,eL6
564,-1,NA
565,2,eL4
566,4,eL5
567,9,eL2/3
568,3,eL4
569,2,eL4
570,-1,NA
571,11,NPY
572,8,eL6
573,7,eL4
574,4,eL6
575,1,eL5
576,-1,NA
577,-1,NA
578,-1,NA
579,0,eL5
580,1,Endo
581,7,eL5
582,0,eL4
583,-1,NA
584,-1,NA
585,-1,NA
586,0,Endo
587,-1,NA
588,11,eL6
589,3,eL4
590,-1,NA
591,7,eL4
592,1,eL6
593,2,eL2/3
594,1,eL5
595,4,eL4
596,-1,NA
597,3,eL2/3
598,3,eL4
599,3,eL5
600,0,eL4
601,-1,NA
602,4,eL4
603,0,Astro
604,3,eL6
605,-1,NA
606,0,Smc
607,2,eL5
608,-1,NA
609,3,eL5
610,0,eL2/3
611,0,eL5
612,0,eL2/3
613,1,eL6
614,2,eL5
615,-1,NA
616,2,eL5
617,6,eL4
618,1,eL6
619,5,eL2/3
620,3,eL4
621,0,Astro
622,0,eL5
623,-1,NA
624,3,eL2/3
625,3,eL5
626,-1,NA
627,1,eL5
628,7,eL5
629,2,eL4
630,-1,NA
631,1,eL6
632,9,Endo
633,11,eL2/3
634,3,SST
635,3,eL2/3
636,4,Smc
637,-1,NA
638,0,Endo
639,3,eL4
640,3,eL4
641,5,Astro
642,1,eL2/3
643,1,eL5
644,1,eL2/3
645,1,eL6
646,3,eL4
647,-1,NA
648,3,eL4
649,0,eL4
650,-1,NA
651,0,Smc
652,0,Oligo
653,-1,NA
654,0,eL2/3
655,4,eL4
656,-1,NA
657,6,eL2/3
658,8,eL2/3
