0,311412,1110008F13Rik
1,424121,1110008P14Rik
2,224433,1700019D03Rik
3,313212,1700086L19Rik
4,211112,2810468N07Rik
5,321213,2900055J20Rik
6,134413,2900092D14Rik
7,121143,3110035E14Rik
8,324221,3632451O06Rik
9,314424,6330403K07Rik
10,243342,9130024F11Rik
11,134332,9430021M05Rik
12,132433,A730017C20Rik
13,443113,A830018L16Rik
14,234423,Aamp
15,313324,Abat
16,244332,Abhd3
17,332211,Acat2
18,211424,Ackr1
19,341211,Acot13
20,142241,Acrbp
21,124214,Acsbg1
22,423414,Acss1
23,143244,Acta1
24,144423,Acta2
25,131214,Acvr1c
26,122432,Adamts18
27,213114,Adamts2
28,312312,Adamts3
29,244442,Adarb2
30,242312,Adcyap1
31,424112,Adgra1
32,142232,Adgrg6
33,231224,Adgrl2
34,431413,Adk
35,331234,Adm
36,123132,Adrbk2
37,114213,Aebp1
38,312141,Afap1
39,133212,Agrp
40,423441,Agt
41,412434,Agtr1a
42,431121,Aif1
43,241214,Ak1
44,334422,Ak5
45,113344,Akr1c18
46,344344,Akr1e1
47,332314,Aldh1l1
48,211233,Aldh3a2
49,112134,Aldoc
50,424442,Alkbh5
51,132141,Amph
52,143211,Anapc13
53,424134,Ankrd29
54,414144,Ano3
55,324111,Anxa5
56,421214,Apod
57,444433,Apoe
58,412443,Aprt
59,414342,Aqp4
60,313432,Arc
61,324432,Arf5
62,124241,Arhgap24
63,133221,Arhgap25
64,232113,Arl4a
65,321312,Arl4d
66,323233,Arpc2
67,412232,Arpc3
68,431233,Arpp19
69,111133,Arpp21
70,414111,Arx
71,212441,Asb11
72,224231,Ascl1
73,323332,Ass1
74,332112,Atp1a2
75,322124,Atp1b2
76,433213,Atp2b4
77,342122,Atp6ap1l
78,211431,Atp6v0e
79,112222,Atp9a
80,433411,Atraid
81,312123,Avp
82,442121,AW549877
83,431431,B230216N24Rik
84,233244,B2m
85,131223,B3galt2
86,211121,Bace2
87,412113,Baiap2
88,431112,Batf3
89,224141,Bc1
90,321422,Bcan
91,424323,Bcap29
92,333421,Bcar3
93,312334,Bcl6
94,113322,Bdnf
95,423212,Bex1
96,413442,BFP
97,344421,Bglap3
98,314143,Bhlhe40
99,332413,Blnk
100,411224,Bmp3
101,433114,Brinp3
102,142131,Bsg
103,132422,Btbd10
104,114422,Btbd11
105,314314,Btbd3
106,343123,Btg2
107,242132,C1ql3
108,231132,C1qtnf7
109,243111,C730002L08Rik
110,343141,Cacng3
111,413244,Cacng4
112,221111,Cadps2
113,134121,Calb1
114,223113,Calb2
115,211413,Calca
116,334114,Caln1
117,111313,Camk2a
118,333113,Camk2d
119,431211,Camk2n1
120,434131,Camk4
121,324243,Car10
122,323134,Car12
123,123343,Car2
124,341431,Car4
125,223241,Cartpt
126,144342,Cav1
127,313122,Cbln2
128,234221,Cbln4
129,242213,Ccar2
130,314244,Ccdc109b
131,121341,Ccdc80
132,422141,Cck
133,123312,Cd164
134,412421,Cd200
135,413341,Cd302
136,423144,Cd34
137,234441,Cd63
138,314134,Cd7
139,343444,Cd9
140,414441,Cdca7
141,111342,Cdh13
142,141422,Cdh18
143,412223,Cdh9
144,431134,Cdk4
145,212414,Cdk6
146,132213,Cend1
147,131241,Cenpw
148,112233,Chat
149,141114,Chchd3
150,212234,Chl1
151,134442,Chodl
152,113333,Chrm2
153,344223,Chrna2
154,323244,Chrna6
155,223443,Chrnb3
156,343312,Cidea
157,223124,Cited1
158,222112,Cldn10
159,144441,Cldn5
160,314121,Clic1
161,233442,Cmtm5
162,223223,Cnih3
163,324133,Cnot6l
164,314442,Cnp
165,343411,Cnr1
166,312242,Cntn4
167,122441,Cntn6
168,434142,Cntnap4
169,142333,Coch
170,234111,Col14a1
171,213132,Col25a1
172,314233,Col6a1
173,431244,Commd3
174,214412,Coro6
175,242422,Cort
176,433231,Cox20
177,214124,Cox6a2
178,342441,Cplx1
179,322421,Cplx3
180,443124,Cpne2
181,433422,Cpne4
182,212212,Cpne5
183,431332,Cpne6
184,422411,Cpne7
185,143314,Cpne9
186,212221,Cre
187,332222,Crh
188,224132,Crhbp
189,442211,Crip2
190,114334,Crispld2
191,242231,Cryab
192,422213,Crym
193,314413,Csrnp1
194,111331,Ctgf
195,132231,Ctso
196,343132,Ctsz
197,213224,Ctxn1
198,112121,Ctxn3
199,111432,Cux2
200,222442,Cxcl14
201,441111,Cxxc4
202,342414,Cyb561
203,331441,Cyb5r1
204,444312,Cyb5r2
205,231422,Cygb
206,414234,Cyp2j9
207,444422,Cyr61
208,311322,Dbi
209,421443,Dbpht2
210,433334,Dcdc2c
211,122212,Dcn
212,341314,Ddah1
213,233134,Ddit3
214,334213,Ddit4l
215,122423,Ddt
216,241421,Depdc7
217,222134,Deptor
218,113241,Dgkb
219,224411,Dgkg
220,113311,Dhrs3
221,114123,Dkk3
222,244211,Dkkl1
223,211323,Dlx1
224,243234,Dlx2
225,243324,Dlx5
226,241124,Dlx6os1
227,232131,Dnaja2
228,123123,Dnajc15
229,333241,Dner
230,342324,Dok5
231,122243,Dtwd1
232,111221,Dusp1
233,222424,Dusp14
234,432122,Dusp6
235,343231,Dync1i1
236,213433,Dync2li1
237,112332,Dynlt3
238,122221,E430025E21Rik
239,131434,Ednrb
240,223131,Eef1akmt1 
241,322113,Eef1e1
242,411231,Eepd1
243,112413,Efemp1
244,241131,Efhd2
245,343321,Efna1
246,331243,Efna5
247,224114,Efr3a
248,311223,Egln3
249,323314,Egr1
250,124344,Egr2
251,342234,Egr3
