CellID,ClusterID,ClusterName
1077,5,eL6-2
1078,4,eL6-1
1079,5,eL6-2
1080,4,eL6-1
1081,5,eL6-2
1082,1,L5-1
1083,4,eL6-1
1084,11,Astro
1085,4,eL6-1
1086,14,Smc
1087,5,eL6-2
1088,14,Smc
1089,-1,NA
1090,5,eL6-2
1091,14,Smc
1092,14,Smc
1093,12,Oligo
1094,4,eL6-1
1095,-1,NA
1096,14,Smc
1097,13,Endo
1098,4,eL6-1
1099,1,L5-1
1100,4,eL6-1
1101,4,eL6-1
1102,8,SST
1103,4,eL6-1
1104,4,eL6-1
1105,3,eL5-3
1106,1,L5-1
1107,1,L5-1
1108,5,eL6-2
1109,12,Oligo
1110,2,eL5-2
1111,-1,NA
1112,5,eL6-2
1113,12,Oligo
1114,11,Astro
1115,4,eL6-1
1116,11,Astro
1117,-1,NA
1118,3,eL5-3
1119,8,SST
1120,-1,NA
1121,12,Oligo
1122,12,Oligo
1123,12,Oligo
1124,4,eL6-1
1125,12,Oligo
1126,4,eL6-1
1127,4,eL6-1
1128,8,SST
1129,12,Oligo
1130,1,L5-1
1131,4,eL6-1
1132,5,eL6-2
1133,-1,NA
1134,4,eL6-1
1135,4,eL6-1
1136,4,eL6-1
1137,11,Astro
1138,12,Oligo
1139,4,eL6-1
1140,5,eL6-2
1141,-1,NA
1142,5,eL6-2
1143,12,Oligo
1144,12,Oligo
1145,-1,NA
1146,1,L5-1
1147,12,Oligo
1148,4,eL6-1
1149,-1,NA
1150,11,Astro
1151,-1,NA
1152,1,L5-1
1153,3,eL5-3
1154,12,Oligo
1155,4,eL6-1
1156,3,eL5-3
1157,-1,NA
1158,4,eL6-1
1159,5,eL6-2
1160,-1,NA
1161,14,Smc
1162,2,eL5-2
1163,13,Endo
1164,5,eL6-2
1165,5,eL6-2
1166,11,Astro
1167,1,L5-1
1168,12,Oligo
1169,3,eL5-3
1170,3,eL5-3
1171,5,eL6-2
1172,-1,NA
1173,-1,NA
1174,5,eL6-2
1175,-1,NA
1176,11,Astro
1177,4,eL6-1
1178,-1,NA
1179,8,SST
1180,12,Oligo
1181,-1,NA
1182,11,Astro
1183,12,Oligo
1184,14,Smc
1185,14,Smc
1186,9,Lhx6
1187,-1,NA
1188,12,Oligo
1189,-1,NA
1190,12,Oligo
1191,14,Smc
1192,14,Smc
1193,-1,NA
1194,-1,NA
1195,-1,NA
1196,12,Oligo
1197,12,Oligo
1198,5,eL6-2
1199,4,eL6-1
1200,11,Astro
1201,-1,NA
1202,12,Oligo
1203,11,Astro
1204,-1,NA
1205,10,NPY
1206,-1,NA
1207,-1,NA
1208,-1,NA
1209,-1,NA
1210,12,Oligo
1211,10,NPY
1212,5,eL6-2
1213,-1,NA
1214,-1,NA
